Gene,TCGA_BRCA,TCGA_KIRC,TCGA_LUAD,TCGA_LUSC,TCGA_PRAD,TCGA_STAD,TCGA_THCA
ENSG00000019169,0,0,1,1,0,0,0
ENSG00000022267,1,0,0,0,0,1,0
ENSG00000034971,0,0,0,0,0,1,1
ENSG00000066405,0,0,1,1,0,0,0
ENSG00000069011,1,0,0,1,0,0,0
ENSG00000099953,1,0,1,1,0,1,0
ENSG00000101938,1,0,0,1,1,0,1
ENSG00000104332,1,1,0,0,0,1,0
ENSG00000105664,1,0,0,0,0,1,0
ENSG00000113946,0,1,0,0,0,0,1
ENSG00000114854,0,0,1,1,0,0,0
ENSG00000119147,1,0,0,0,0,1,0
ENSG00000122852,0,0,1,1,0,0,0
ENSG00000123500,1,0,1,0,1,1,0
ENSG00000133661,0,0,1,1,0,0,0
ENSG00000134020,0,0,1,1,0,0,0
ENSG00000142973,0,0,1,1,1,0,0
ENSG00000147257,1,1,0,0,0,0,0
ENSG00000148677,0,0,1,1,0,0,0
ENSG00000154330,0,0,0,0,1,1,0
ENSG00000164530,0,0,0,0,0,1,1
ENSG00000166292,0,0,1,1,0,0,0
ENSG00000166482,0,0,0,1,0,0,1
ENSG00000166961,0,0,1,1,0,0,0
ENSG00000168309,0,0,1,1,0,0,0
ENSG00000168484,0,0,1,1,0,0,0
ENSG00000170323,1,0,1,0,0,0,0
ENSG00000170890,0,0,1,1,0,0,0
ENSG00000171885,0,0,1,1,0,0,0
ENSG00000172005,0,1,0,0,0,1,0
ENSG00000175084,0,0,1,1,0,0,0
ENSG00000175445,1,0,1,0,0,0,0
ENSG00000183019,0,0,1,1,0,0,0
ENSG00000183607,0,0,1,1,0,0,0
ENSG00000185303,0,0,1,1,0,0,0
ENSG00000188910,0,0,0,1,0,0,1
ENSG00000196611,1,0,0,0,0,1,0
ENSG00000196616,1,0,1,1,0,0,0
ENSG00000204305,0,0,1,1,0,0,0
ENSG00000213088,1,0,0,0,0,1,0
ENSG00000241644,0,0,1,1,0,0,0
ENSG00000244734,1,0,1,1,0,0,0
