Gene,Importance
ENSG00000241644,0.039887561732097745
ENSG00000099994,0.03972659021855433
ENSG00000117394,0.03670005872440141
ENSG00000066405,0.03613526126276094
ENSG00000122852,0.035771045588413077
ENSG00000153446,0.03400069007281143
ENSG00000183607,0.03184382434527574
ENSG00000196616,0.030604096381457037
ENSG00000149435,0.029502901588345065
ENSG00000114854,0.029330429622962156
ENSG00000168484,0.027424314395331623
ENSG00000131400,0.026330550654542907
ENSG00000183019,0.025519435107856387
ENSG00000157765,0.025148928884299964
ENSG00000204305,0.02503448931580803
ENSG00000173376,0.024331594755683524
ENSG00000168309,0.023528660538703495
ENSG00000170890,0.02166182650540942
ENSG00000143416,0.020698308792291377
ENSG00000110195,0.020452025901284605
ENSG00000185303,0.0200990798330286
ENSG00000166482,0.019662608284226883
ENSG00000069011,0.018892335036858072
ENSG00000168878,0.016685683657673044
ENSG00000167972,0.016079310909522415
ENSG00000171885,0.01595845595226529
ENSG00000196260,0.0155258513214385
ENSG00000096088,0.015149321750437586
ENSG00000133661,0.013730459926241301
ENSG00000175084,0.013363606369259495
ENSG00000134020,0.011733826796803088
ENSG00000099953,0.01150614623877102
ENSG00000124466,0.01138586570107725
ENSG00000260314,0.010530145354391155
ENSG00000142973,0.010499709586647775
ENSG00000162896,0.008317445905941507
ENSG00000229415,0.007650675922147977
ENSG00000019169,0.007577095211090068
ENSG00000166961,0.00751132561381865
ENSG00000166292,0.0074459579553567325
ENSG00000188910,0.007395454107504323
ENSG00000101938,0.006225791076588344
ENSG00000182379,0.006135969717573829
ENSG00000105880,0.005813718559426652
ENSG00000019102,0.005446823534441177
ENSG00000114270,0.005365622620727303
ENSG00000148677,0.005357361071068141
ENSG00000112936,0.0046272995043903555
ENSG00000244734,0.004590152251757496
ENSG00000206075,0.004557707228907795
ENSG00000256612,0.004475437506014023
ENSG00000121742,0.004352183837447053
ENSG00000013588,0.004289351303084703
ENSG00000158055,0.00386953638268448
ENSG00000188536,0.0037854075768516578
ENSG00000196754,0.0034971812765058562
ENSG00000137699,0.003447480218648559
ENSG00000259803,0.003378230457337672
ENSG00000197249,0.002925301005572127
ENSG00000189280,0.002841059159521134
ENSG00000136352,0.002825796810903502
ENSG00000104140,0.0027811072247080487
ENSG00000262406,0.0026310234211795592
ENSG00000095713,0.0023574065875885584
ENSG00000131746,0.0022769398436325505
ENSG00000170323,0.0022683542021458302
ENSG00000004799,0.002207628178183243
ENSG00000186832,0.0021902346826873074
ENSG00000105427,0.0021850483630452013
ENSG00000165474,0.0021393272473881754
ENSG00000159527,0.0019804783443121326
ENSG00000134757,0.0019537791092632197
ENSG00000123838,0.0017374979579742236
ENSG00000230937,0.0015750211987361838
ENSG00000142748,0.0015699463557014921
ENSG00000173467,0.001536843152947368
ENSG00000178363,0.0015289887905466286
ENSG00000178919,0.0014359445773087143
ENSG00000227471,0.0014333455666384332
ENSG00000168481,0.0014048563970707449
ENSG00000185686,0.0012039711807251491
ENSG00000131668,0.001104100843668804
ENSG00000073282,0.0008898838680372244
ENSG00000174564,0.0008890756264763888
ENSG00000131650,0.000881903431372893
ENSG00000128422,0.0008441116964305531
ENSG00000196611,0.0008027007286964854
ENSG00000087128,0.0007856958723260653
ENSG00000137648,0.0007514734874403335
ENSG00000094796,0.0007197869111496682
ENSG00000205420,0.0007128091982899908
ENSG00000147689,0.0007113923894839318
ENSG00000086570,0.000696179265469889
ENSG00000154227,0.0006878590645322135
ENSG00000186081,0.0006732632691780634
ENSG00000125740,0.0006272326983593121
ENSG00000170373,0.0005735597906349777
ENSG00000163331,0.0005496861365196948
ENSG00000156076,0.0004615283981970324
ENSG00000113430,0.0003325852573840732
ENSG00000142619,0.00027918928693000504
ENSG00000243566,0.0002535254600243921
ENSG00000207296,0.000213194292393226
ENSG00000069482,0.00021159283207964388
ENSG00000128714,0.00020300366012837934
ENSG00000081041,0.00019576500449308272
ENSG00000180818,0.0001880280756058392
ENSG00000137441,0.00018288961786690818
ENSG00000118785,0.0001707709595805103
ENSG00000147381,0.00016108940072447135
ENSG00000186847,0.00014864769426149813
ENSG00000197172,0.00014854346941053733
ENSG00000105894,0.0001369679176852717
ENSG00000073756,0.00013587210031426348
ENSG00000198930,0.00013549392105953996
ENSG00000133392,0.00013296641555954602
ENSG00000287394,0.00012719672735001542
ENSG00000181195,0.00012643601729391192
ENSG00000170454,0.00012159058781467495
ENSG00000149968,0.00011834052905545084
ENSG00000140519,0.00011714998861152008
ENSG00000137285,0.00011663706110641985
ENSG00000147889,0.00011647699531604539
ENSG00000143556,0.00011589014793904158
ENSG00000164265,0.00011124005009276674
ENSG00000060718,0.00010888011208777697
ENSG00000165272,0.00010838212066913917
ENSG00000213401,0.00010665716127676052
ENSG00000128594,0.00010207352690181531
ENSG00000102854,9.96596050431328e-05
ENSG00000286042,9.808288744847133e-05
ENSG00000147257,9.751840315370933e-05
ENSG00000081277,9.333685442181248e-05
ENSG00000178934,9.146095868331461e-05
ENSG00000275216,9.018641395580984e-05
ENSG00000137975,8.860703284080734e-05
ENSG00000166670,8.729202942360571e-05
ENSG00000163207,8.439054595888636e-05
ENSG00000087494,8.361150975931496e-05
ENSG00000213088,8.074736280449648e-05
ENSG00000101144,7.74426274688027e-05
ENSG00000135480,7.613797171488376e-05
ENSG00000134363,7.581482208916411e-05
ENSG00000196188,7.18126064355316e-05
ENSG00000107159,7.056149452432462e-05
ENSG00000169297,6.721592100752902e-05
ENSG00000226145,6.578238407494404e-05
ENSG00000198848,6.54186409985902e-05
ENSG00000171346,6.492472089174586e-05
ENSG00000241351,6.422688366497155e-05
ENSG00000178372,6.406936807031615e-05
ENSG00000171243,6.380565305466013e-05
ENSG00000136688,6.36975725680812e-05
ENSG00000007038,6.346622732258437e-05
ENSG00000124107,6.321876168428515e-05
ENSG00000187908,5.984177319511583e-05
ENSG00000188505,5.8746263629649655e-05
ENSG00000221867,5.794546531759163e-05
ENSG00000121552,5.752361339118627e-05
ENSG00000170465,5.721593921561728e-05
ENSG00000143320,5.614155120106783e-05
ENSG00000156689,5.613482690013917e-05
ENSG00000111432,5.609338410833564e-05
ENSG00000256812,5.48166314396139e-05
